digit1,digit2,feed_C,feed_I,digit3,digit4,digit5,digit6,digit7,digit8,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,two_digits.thisRepN,two_digits.thisTrialN,two_digits.thisN,two_digits.thisIndex,three_digits.thisRepN,three_digits.thisTrialN,three_digits.thisN,three_digits.thisIndex,four_digitss.thisRepN,four_digitss.thisTrialN,four_digitss.thisN,four_digitss.thisIndex,five_digits.thisRepN,five_digits.thisTrialN,five_digits.thisN,five_digits.thisIndex,six_digits.thisRepN,six_digits.thisTrialN,six_digits.thisN,six_digits.thisIndex,seven_digits.thisRepN,seven_digits.thisTrialN,seven_digits.thisN,seven_digits.thisIndex,eight_digits.thisRepN,eight_digits.thisTrialN,eight_digits.thisN,eight_digits.thisIndex,grating.started,grating.stopped,text.started,text.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,grating_13.started,grating_13.stopped,text_14.started,text_14.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,grating_22.started,grating_22.stopped,text_26.started,text_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,grating_20.started,grating_20.stopped,text_21.started,text_21.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,ISI_11.started,ISI_11.stopped,grating_21.started,grating_21.stopped,text_25.started,text_25.stopped,ISI_2.started,ISI_2.stopped,grating_3.started,grating_3.stopped,text_3.started,text_3.stopped,ISI.started,ISI.stopped,grating_2.started,grating_2.stopped,text_2.started,text_2.stopped,ISI_3.started,ISI_3.stopped,grating_4.started,grating_4.stopped,text_4.started,text_4.stopped,grating_11.started,grating_11.stopped,response,print_response.started,print_response.stopped,text_11.started,text_11.stopped,text_13.started,text_13.stopped,grating_14.started,grating_14.stopped,text_15.started,text_15.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_16.started,text_16.stopped,grating_15.started,grating_15.stopped,text_17.started,text_17.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating_16.started,grating_16.stopped,print_response_2.started,print_response_2.stopped,text_18.started,text_18.stopped,text_19.started,text_19.stopped,grating_19.started,grating_19.stopped,text_23.started,text_23.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_24.started,text_24.stopped,grating_18.started,grating_18.stopped,text_22.started,text_22.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,grating_12.started,grating_12.stopped,text_12.started,text_12.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ISI_4.started,ISI_4.stopped,grating_5.started,grating_5.stopped,text_5.started,text_5.stopped,ISI_5.started,ISI_5.stopped,grating_6.started,grating_6.stopped,text_6.started,text_6.stopped,ISI_6.started,ISI_6.stopped,grating_7.started,grating_7.stopped,text_7.started,text_7.stopped,ISI_7.started,ISI_7.stopped,grating_8.started,grating_8.stopped,text_8.started,text_8.stopped,ISI_8.started,ISI_8.stopped,grating_9.started,grating_9.stopped,text_9.started,text_9.stopped,ISI_9.started,ISI_9.stopped,grating_10.started,grating_10.stopped,text_10.started,text_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.913050004473916,None,9.913050004473916,None,space,67.80698081152332,9.913050004473916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.73500101511854,None,77.73500101511854,None,space,28.32016725569156,77.73500101511854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.06990208992647,None,106.06990208992647,None,space,14.753111828911642,106.06990208992647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.83240625544204,None,120.83240625544204,None,space,17.31006674126911,120.83240625544204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
3,4,Tryck på mellanslagstangenten för att fortsätta.,Serien var 3 4. Därför är det korrekta svaret 4 3. Tryck på mellanslagstangenten för att fortsätta.,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008192347253498156,None,138.20501427100135,None,138.20501427100135,138.70507408765116,0.005033322524468531,None,139.17687061738798,None,139.17687061738798,None,0.0076480638490465935,None,142.1661575034941,None,142.1661575034941,None,0.005791855379357003,None,141.17706145334887,None,141.17706145334887,None,143.17634974747125,None,43,143.17634974747125,None,143.17634974747125,None,143.17634974747125,None,147.1467464393063,None,147.1467464393063,None,space,2.7553636932498193,147.1467464393063,None,147.1467464393063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.9275201813034,None,149.9275201813034,None,space,5.526433667184392,149.9275201813034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
9,7,Tryck på mellanslagstangenten för att fortsätta.,Serien var 9 7. Därför är det korrekta svaret 7 9. Tryck på mellanslagstangenten för att fortsätta.,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008740864330320619,None,155.4884380669955,None,155.4884380669955,155.9880600835004,0.0007185054109868361,None,156.49841509932594,None,156.49841509932594,None,0.007655119967239443,None,159.4791791551961,None,159.4791791551961,None,0.007851600827052607,None,158.48908787146138,None,158.48908787146138,None,,,79,,,,,,,,,,,,,,,,,,,,,,,,,160.48939320899808,None,160.48939320899808,None,160.48939320899808,None,160.48939320899808,None,163.6495635950414,None,163.6495635950414,None,space,3.164040346891852,163.6495635950414,None,163.6495635950414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.83134912043897,None,166.83134912043897,None,space,6.750310549443384,166.83134912043897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
3,1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009630256128730252,None,173.61161963281847,None,173.61161963281847,174.1112082931213,0.0004437657717062393,None,174.61181752489938,None,174.61181752489938,None,0.007067537648254074,None,177.60232351602644,None,177.60232351602644,None,0.0069548321753245546,None,176.61227104094723,None,176.61227104094723,None,178.612529230777,None,13,178.612529230777,None,178.612529230777,None,178.612529230777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.29275711778064,None,181.29275711778064,None,space,3.6084575290569774,181.29275711778064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
2,4,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004178377417701995,None,184.9235716409421,None,184.9235716409421,185.42316126344303,0.0056901831085269805,None,185.9341984777384,None,185.9341984777384,None,0.008450857814750634,None,188.92427212117582,None,188.92427212117582,None,0.0014932031917851418,None,187.93415421662576,None,187.93415421662576,None,189.93451343725792,None,42,189.93451343725792,None,189.93451343725792,None,189.93451343725792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.77491940788968,None,192.77491940788968,None,space,3.053916130320431,192.77491940788968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
