upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,8,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8,1.32079197632,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,8,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,4,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,1.05067881256,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,4,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,X,None,None,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,1,0.950666977562,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,None,P,None,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,1,0.870544996891,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,None,None,S,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,1,0.710588411132,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,1,0.770481203359,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,1,0.57053001872,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,1,0.529884975998,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
KTM,XTM,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,None,X,16,None,None,None,,,,,,,,,,,,,,,,,0,0,0,15,,,,,1,0.680532324783,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
WJP,WJZ,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,Z,None,None,23,None,None,None,,,,,,,,,,,,,,,,,0,1,1,22,,,,,1,0.620732224008,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
QNB,QNB,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,1,None,None,None,,,,,,,,,,,,,,,,,0,2,2,0,,,,,1,0.750730546581,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
WSV,WSV,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,7,None,None,None,,,,,,,,,,,,,,,,,0,3,3,6,,,,,1,0.560553980584,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
NLX,NLX,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,9,None,None,None,,,,,,,,,,,,,,,,,0,4,4,8,,,,,1,0.519938445177,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
VSG,VSG,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,5,None,None,None,,,,,,,,,,,,,,,,,0,5,5,4,,,,,1,0.590596596203,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
BLG,BSG,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,S,None,19,None,None,None,,,,,,,,,,,,,,,,,0,6,6,18,,,,,1,0.830677728489,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
TLJ,TXJ,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,X,None,17,None,None,None,,,,,,,,,,,,,,,,,0,7,7,16,,,,,1,1.02055601402,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
NRK,NRK,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,10,None,None,None,,,,,,,,,,,,,,,,,0,8,8,9,,,,,1,0.71062465381,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
BGQ,BWQ,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,W,None,18,None,None,None,,,,,,,,,,,,,,,,,0,9,9,17,,,,,1,0.670529665917,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
RBT,RBT,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,2,None,None,None,,,,,,,,,,,,,,,,,0,10,10,1,,,,,1,0.740792675513,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
XTK,XTK,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,6,None,None,None,,,,,,,,,,,,,,,,,0,11,11,5,,,,,1,1.03070717166,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
CBN,CMN,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,M,None,20,None,None,None,,,,,,,,,,,,,,,,,0,12,12,19,,,,,1,0.720608710239,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
VXL,VXD,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,D,None,None,24,None,None,None,,,,,,,,,,,,,,,,,0,13,13,23,,,,,1,0.670628451273,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
FHP,FHP,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,12,None,None,None,,,,,,,,,,,,,,,,,0,14,14,11,,,,,1,0.530448822288,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
ZLW,ZLW,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,4,None,None,None,,,,,,,,,,,,,,,,,0,15,15,3,,,,,1,0.590580880351,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
FRQ,MRQ,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,None,M,15,None,None,None,,,,,,,,,,,,,,,,,0,16,16,14,,,,,1,0.62074793986,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
GZK,GZK,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,3,None,None,None,,,,,,,,,,,,,,,,,0,17,17,2,,,,,1,0.810594793691,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
ZKJ,ZKV,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,V,None,None,22,None,None,None,,,,,,,,,,,,,,,,,0,18,18,21,,,,,1,0.720568618777,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
HVD,HVD,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,8,None,None,None,,,,,,,,,,,,,,,,,0,19,19,7,,,,,1,0.670695804925,2020_feb_25_1259,99.9807918639,Control Task #6k,001,NENA_001_A,
