upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,1.27076080674,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,0.670693836917,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,1.10076777956,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,1,0.690679583377,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,P,None,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,1,1.03066499627,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,1,1.43075358375,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,X,None,None,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,1,0.910790288863,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,None,S,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,1,2.22104821892,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
VXL,VXD,,,,,    OLIKA              LIKA  ,4,D,None,None,24,None,None,None,,,,,,,,,,,,,,,,,0,0,0,23,,,,,1,1.34076159575,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
KTM,XTM,,,,,    OLIKA              LIKA  ,4,None,None,X,16,None,None,None,,,,,,,,,,,,,,,,,0,1,1,15,,,,,1,0.830831907659,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
TLJ,TXJ,,,,,    OLIKA              LIKA  ,4,None,X,None,17,None,None,None,,,,,,,,,,,,,,,,,0,2,2,16,,,,,1,0.780553860997,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
NLX,NLX,,,,,    OLIKA              LIKA  ,8,None,None,None,9,None,None,None,,,,,,,,,,,,,,,,,0,3,3,8,,,,,1,0.499960549385,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
QNB,QNB,,,,,    OLIKA              LIKA  ,8,None,None,None,1,None,None,None,,,,,,,,,,,,,,,,,0,4,4,0,,,,,1,0.500016036834,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
KTS,KTS,,,,,    OLIKA              LIKA  ,8,None,None,None,11,None,None,None,,,,,,,,,,,,,,,,,0,5,5,10,,,,,1,0.520064006219,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
RBN,RBW,,,,,    OLIKA              LIKA  ,4,W,None,None,21,None,None,None,,,,,,,,,,,,,,,,,0,6,6,20,,,,,1,1.260725917,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
XTK,XTK,,,,,    OLIKA              LIKA  ,8,None,None,None,6,None,None,None,,,,,,,,,,,,,,,,,0,7,7,5,,,,,1,1.39081897555,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
WJP,WJZ,,,,,    OLIKA              LIKA  ,4,Z,None,None,23,None,None,None,,,,,,,,,,,,,,,,,0,8,8,22,,,,,1,0.80067207172,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
VSG,VSG,,,,,    OLIKA              LIKA  ,8,None,None,None,5,None,None,None,,,,,,,,,,,,,,,,,0,9,9,4,,,,,1,0.800727559174,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
FHP,FHP,,,,,    OLIKA              LIKA  ,8,None,None,None,12,None,None,None,,,,,,,,,,,,,,,,,0,10,10,11,,,,,1,0.970698455525,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
RBT,RBT,,,,,    OLIKA              LIKA  ,8,None,None,None,2,None,None,None,,,,,,,,,,,,,,,,,0,11,11,1,,,,,1,0.650685959621,2020_mar_13_1518,99.9337156132,Control Task #6k,001,NENA_003_B,
