upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,2.42101505497,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,2.23085269582,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,1,2.06106084306,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,X,None,None,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,1,2.83105809437,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,P,None,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,1,1.79085110498,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,None,S,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,1,1.25055382876,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,1,1.39078708632,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,1,1.42043035549,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
FRQ,MRQ,,,,,    OLIKA              LIKA  ,4,None,None,M,15,None,None,None,,,,,,,,,,,,,,,,,0,0,0,14,,,,,1,1.53076664269,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
VSG,VSG,,,,,    OLIKA              LIKA  ,8,None,None,None,5,None,None,None,,,,,,,,,,,,,,,,,0,1,1,4,,,,,1,1.53044013469,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
XTK,XTK,,,,,    OLIKA              LIKA  ,8,None,None,None,6,None,None,None,,,,,,,,,,,,,,,,,0,2,2,5,,,,,1,1.2907216885,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
VXL,VXD,,,,,    OLIKA              LIKA  ,4,D,None,None,24,None,None,None,,,,,,,,,,,,,,,,,0,3,3,23,,,,,1,1.1607047954,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
WSV,WSV,,,,,    OLIKA              LIKA  ,8,None,None,None,7,None,None,None,,,,,,,,,,,,,,,,,0,4,4,6,,,,,1,1.27073285649,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
BGQ,BWQ,,,,,    OLIKA              LIKA  ,4,None,W,None,18,None,None,None,,,,,,,,,,,,,,,,,0,5,5,17,,,,,1,0.960664126234,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
KTS,KTS,,,,,    OLIKA              LIKA  ,8,None,None,None,11,None,None,None,,,,,,,,,,,,,,,,,0,6,6,10,,,,,1,0.990724671334,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
ZKJ,ZKV,,,,,    OLIKA              LIKA  ,4,V,None,None,22,None,None,None,,,,,,,,,,,,,,,,,0,7,7,21,,,,,1,1.10086563106,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
QNB,QNB,,,,,    OLIKA              LIKA  ,8,None,None,None,1,None,None,None,,,,,,,,,,,,,,,,,0,8,8,0,,,,,1,1.38084751596,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
GVN,RVN,,,,,    OLIKA              LIKA  ,4,None,None,R,14,None,None,None,,,,,,,,,,,,,,,,,0,9,9,13,,,,,1,1.13071449122,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
KTM,XTM,,,,,    OLIKA              LIKA  ,4,None,None,X,16,None,None,None,,,,,,,,,,,,,,,,,0,10,10,15,,,,,1,0.960690747219,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
RBT,RBT,,,,,    OLIKA              LIKA  ,8,None,None,None,2,None,None,None,,,,,,,,,,,,,,,,,0,11,11,1,,,,,1,1.15071839776,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
HVD,HVD,,,,,    OLIKA              LIKA  ,8,None,None,None,8,None,None,None,,,,,,,,,,,,,,,,,0,12,12,7,,,,,1,1.0300310375,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
FHP,FHP,,,,,    OLIKA              LIKA  ,8,None,None,None,12,None,None,None,,,,,,,,,,,,,,,,,0,13,13,11,,,,,1,1.19082948746,2020_dec_16_1349,99.9711742569,Control Task #6k,001,NENA_023,
