upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,3.5412302523,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,1.46091386579,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,1.78095195636,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,X,None,None,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,1,1.42049154669,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,1,1.20037705688,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,1,1.56048433655,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,None,S,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,1,1.38088100963,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,P,None,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,0,1.30074583877,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
RBN,RBW,,,,,    OLIKA              LIKA  ,4,W,None,None,21,None,None,None,,,,,,,,,,,,,,,,,0,0,0,20,,,,,1,2.28083617077,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
GZK,GZK,,,,,    OLIKA              LIKA  ,8,None,None,None,3,None,None,None,,,,,,,,,,,,,,,,,0,1,1,2,,,,,1,2.2407079663,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
XTK,XTK,,,,,    OLIKA              LIKA  ,8,None,None,None,6,None,None,None,,,,,,,,,,,,,,,,,0,2,2,5,,,,,1,1.69049486951,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
WJP,WJZ,,,,,    OLIKA              LIKA  ,4,Z,None,None,23,None,None,None,,,,,,,,,,,,,,,,,0,3,3,22,,,,,1,1.72089483975,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
FRQ,MRQ,,,,,    OLIKA              LIKA  ,4,None,None,M,15,None,None,None,,,,,,,,,,,,,,,,,0,4,4,14,,,,,1,2.07090600135,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
ZLW,ZLW,,,,,    OLIKA              LIKA  ,8,None,None,None,4,None,None,None,,,,,,,,,,,,,,,,,0,5,5,3,,,,,1,1.49079456494,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
WSV,WSV,,,,,    OLIKA              LIKA  ,8,None,None,None,7,None,None,None,,,,,,,,,,,,,,,,,0,6,6,6,,,,,1,1.80084558758,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
QNB,QNB,,,,,    OLIKA              LIKA  ,8,None,None,None,1,None,None,None,,,,,,,,,,,,,,,,,0,7,7,0,,,,,1,1.23081294951,2021_jan_22_1259,99.9837092801,Control Task #6k,001,026,
