upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,8,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8,2.64098040863,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,8,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,4,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,1.47064951527,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,4,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,1.39089076214,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,None,P,None,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,1,1.16075652014,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,X,None,None,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,1,1.77055470488,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,1,1.96057126142,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,None,None,S,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,1,0.800742317826,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,1,0.710249079319,2021_mar_05_1321,99.9869155692,Control Task #6k,001,NENA_035,
